x,y,landmark.number,specimen.number
11.7685,16.119,9,69
10.084000000000001,15.8895,1,70
10.1805,15.60975,2,70
10.1745,15.33,3,70
10.229000000000001,14.7705,4,70
10.71,14.211,5,70
11.191,14.7705,6,70
11.245500000000002,15.33,7,70
11.239500000000001,15.60975,8,70
11.336,15.8895,9,70
9.679,12.2785,1,71
9.709,12.06425,2,71
9.747,11.85,3,71
9.872,11.4215,4,71
10.26,10.993,5,71
10.648,11.4215,6,71
10.773,11.85,7,71
10.811,12.06425,8,71
10.841,12.2785,9,71
16.2575,17.948,1,72
16.1975,17.729000000000003,2,72
16.093,17.51,3,72
16.178,17.072000000000003,4,72
16.94,16.634,5,72
17.702,17.072000000000003,6,72
17.787000000000003,17.51,7,72
17.6825,17.729000000000003,8,72
17.622500000000002,17.948,9,72
7.279999999999999,14.7975,1,73
7.2695,14.47875,2,73
7.295999999999999,14.16,3,73
7.3385,13.5225,4,73
7.68,12.885,5,73
8.0215,13.5225,6,73
8.064,14.16,7,73
8.0905,14.47875,8,73
8.08,14.7975,9,73
13.52,35.367000000000004,1,74
13.472,34.6085,2,74
13.642,33.85,3,74
13.7295,32.333,4,74
14.36,30.816000000000003,5,74
14.990499999999999,32.333,6,74
15.078,33.85,7,74
15.248,34.6085,8,74
15.2,35.367000000000004,9,74
27.918,42.661,1,75
28.0705,41.8655,2,75
28.2815,41.07,3,75
28.7185,39.479,4,75
29.77,37.888,5,75
30.8215,39.479,6,75
31.258499999999998,41.07,7,75
31.4695,41.8655,8,75
31.622,42.661,9,75
11.458,49.089999999999996,1,76
12.099499999999999,48.12,2,76
12.0365,47.15,3,76
12.108,45.21,4,76
12.67,43.269999999999996,5,76
13.232,45.21,6,76
13.3035,47.15,7,76
13.2405,48.12,8,76
13.882,49.089999999999996,9,76
26.314,34.8095,1,77
26.337,34.19475,2,77
25.8875,33.58,3,77
25.9235,32.3505,4,77
27.25,31.121,5,77
28.5765,32.3505,6,77
28.6125,33.58,7,77
28.163,34.19475,8,77
28.186,34.8095,9,77
24.831,27.953,1,78
24.502,27.3265,2,78
24.377,26.7,3,78
24.8015,25.447,4,78
25.66,24.194,5,78
26.5185,25.447,6,78
26.943,26.7,7,78
26.818,27.3265,8,78
26.489,27.953,9,78
20.5145,28.138,1,79
20.145,27.674,2,79
20.1495,27.21,3,79
20.346,26.282,4,79
21.21,25.354,5,79
22.074,26.282,6,79
22.270500000000002,27.21,7,79
22.275000000000002,27.674,8,79
21.9055,28.138,9,79
18.8765,24.6785,1,80
18.8815,24.454250000000002,2,80
18.9145,24.23,3,80
19.110500000000002,23.7815,4,80
19.91,23.333000000000002,5,80
20.7095,23.7815,6,80
20.9055,24.23,7,80
20.9385,24.454250000000002,8,80
20.9435,24.6785,9,80
16.6015,22.602,1,81
16.5005,22.230999999999998,2,81
16.5395,21.86,3,81
16.8125,21.118,4,81
17.41,20.375999999999998,5,81
18.0075,21.118,6,81
18.2805,21.86,7,81
18.3195,22.230999999999998,8,81
18.2185,22.602,9,81
10.1785,12.2355,1,82
10.094,11.982750000000001,2,82
10.013,11.73,3,82
10.093499999999999,11.2245,4,82
10.54,10.719000000000001,5,82
10.9865,11.2245,6,82
11.066999999999998,11.73,7,82
10.985999999999999,11.982750000000001,8,82
10.901499999999999,12.2355,9,82
12.953999999999999,18.357,1,83
12.998999999999999,18.1085,2,83
12.92,17.86,3,83
13.0285,17.363,4,83
13.6,16.866,5,83
14.1715,17.363,6,83
14.28,17.86,7,83
14.201,18.1085,8,83
14.246,18.357,9,83
52.344,59.9015,1,84
52.006,58.90575,2,84
51.604,57.91,3,84
51.7045,55.918499999999995,4,84
54.32,53.927,5,84
56.9355,55.918499999999995,6,84
57.036,57.91,7,84
56.634,58.90575,8,84
56.296,59.9015,9,84
32.0445,46.369,1,85
31.211499999999997,45.624500000000005,2,85
31.426,44.88,3,85
31.6745,43.391000000000005,4,85
33.08,41.902,5,85
34.4855,43.391000000000005,6,85
34.733999999999995,44.88,7,85
34.948499999999996,45.624500000000005,8,85
34.1155,46.369,9,85
15.533499999999998,41.597500000000004,1,86
15.621999999999998,40.95875,2,86
15.6465,40.32,3,86
15.3705,39.0425,4,86
16.47,37.765,5,86
17.569499999999998,39.0425,6,86
17.293499999999998,40.32,7,86
17.317999999999998,40.95875,8,86
17.406499999999998,41.597500000000004,9,86
27.890500000000003,45.3645,1,87
27.959000000000003,44.80225,2,87
28.509500000000003,44.24,3,87
29.175500000000003,43.115500000000004,4,87
30.01,41.991,5,87
30.8445,43.115500000000004,6,87
31.5105,44.24,7,87
32.061,44.80225,8,87
32.1295,45.3645,9,87
25.161,43.5095,1,88
25.127000000000002,42.60475,2,88
25.289,41.7,3,88
25.795,39.8905,4,88
26.62,38.081,5,88
27.445,39.8905,6,88
27.951,41.7,7,88
28.113,42.60475,8,88
28.079,43.5095,9,88
22.6585,38.8885,1,89
22.556,38.07425,2,89
22.724,37.26,3,89
23.1945,35.631499999999996,4,89
23.92,34.003,5,89
24.645500000000002,35.631499999999996,6,89
25.116000000000003,37.26,7,89
25.284000000000002,38.07425,8,89
25.181500000000003,38.8885,9,89
26.9035,48.5005,1,90
26.5405,47.78525,2,90
26.6665,47.07,3,90
27.2125,45.6395,4,90
28.07,44.209,5,90
28.927500000000002,45.6395,6,90
29.4735,47.07,7,90
29.5995,47.78525,8,90
29.2365,48.5005,9,90
34.953500000000005,47.9405,1,91
34.9195,47.32025,2,91
34.969500000000004,46.7,3,91
35.043,45.459500000000006,4,91
36.81,44.219,5,91
38.577000000000005,45.459500000000006,6,91
38.6505,46.7,7,91
38.700500000000005,47.32025,8,91
38.6665,47.9405,9,91
30.653,35.9595,1,92
30.4265,35.28975,2,92
30.229,34.62,3,92
30.429000000000002,33.280499999999996,4,92
31.82,31.941,5,92
33.211,33.280499999999996,6,92
33.411,34.62,7,92
33.2135,35.28975,8,92
32.987,35.9595,9,92
21.497500000000002,30.443,1,93
21.592,29.8265,2,93
21.831,29.21,3,93
22.3305,27.977,4,93
22.98,26.744,5,93
23.6295,27.977,6,93
24.129,29.21,7,93
24.368000000000002,29.8265,8,93
24.4625,30.443,9,93
22.5215,38.894999999999996,1,94
22.854499999999998,38.1675,2,94
22.857,37.44,3,94
22.938,35.985,4,94
24.06,34.53,5,94
25.182,35.985,6,94
25.262999999999998,37.44,7,94
25.2655,38.1675,8,94
25.598499999999998,38.894999999999996,9,94
21.6275,48.0795,1,95
21.7135,47.54975,2,95
22.173,47.02,3,95
22.1095,45.9605,4,95
23.34,44.901,5,95
24.5705,45.9605,6,95
24.507,47.02,7,95
24.9665,47.54975,8,95
25.0525,48.0795,9,95
19.4475,44.0595,1,96
19.676000000000002,43.144749999999995,2,96
19.8645,42.23,3,96
20.24,40.400499999999994,4,96
20.91,38.571,5,96
21.580000000000002,40.400499999999994,6,96
21.9555,42.23,7,96
22.144,43.144749999999995,8,96
22.3725,44.0595,9,96
27.35,41.936,1,97
27.0465,40.992999999999995,2,97
27.037,40.05,3,97
27.4135,38.163999999999994,4,97
28.46,36.278,5,97
29.506500000000003,38.163999999999994,6,97
29.883000000000003,40.05,7,97
29.8735,40.992999999999995,8,97
29.57,41.936,9,97
32.4815,37.019999999999996,1,98
32.076,36.315,2,98
31.758499999999998,35.61,3,98
31.8535,34.2,4,98
33.43,32.79,5,98
35.0065,34.2,6,98
35.1015,35.61,7,98
34.784,36.315,8,98
34.3785,37.019999999999996,9,98
21.4085,32.313,1,99
21.288,31.6015,2,99
21.042499999999997,30.89,3,99
21.299,29.467,4,99
22.15,28.044,5,99
23.000999999999998,29.467,6,99
23.2575,30.89,7,99
23.011999999999997,31.6015,8,99
22.891499999999997,32.313,9,99
19.582,36.606,1,100
19.459,35.948,2,100
19.2375,35.29,3,100
19.0255,33.974,4,100
20.25,32.658,5,100
21.4745,33.974,6,100
21.2625,35.29,7,100
21.041,35.948,8,100
20.918,36.606,9,100
17.064500000000002,31.819499999999998,1,101
16.951500000000003,31.09975,2,101
16.891000000000002,30.38,3,101
17.097,28.9405,4,101
17.78,27.500999999999998,5,101
18.463,28.9405,6,101
18.669,30.38,7,101
18.6085,31.09975,8,101
18.4955,31.819499999999998,9,101
14.540000000000001,31.279,1,102
14.543000000000001,30.5795,2,102
14.544500000000001,29.88,3,102
14.650500000000001,28.480999999999998,4,102
15.31,27.082,5,102
15.9695,28.480999999999998,6,102
16.0755,29.88,7,102
16.077,30.5795,8,102
16.080000000000002,31.279,9,102
28.328,34.058,1,103
28.02,33.744,2,103
27.8445,33.43,3,103
27.6425,32.802,4,103
29.31,32.174,5,103
30.9775,32.802,6,103
30.775499999999997,33.43,7,103
30.599999999999998,33.744,8,103
30.291999999999998,34.058,9,103
20.038,23.150000000000002,1,104
19.74,22.84,2,104
19.475,22.53,3,104
19.68,21.91,4,104
20.5,21.290000000000003,5,104
21.32,21.91,6,104
21.525,22.53,7,104
21.26,22.84,8,104
20.962,23.150000000000002,9,104
23.0325,25.490499999999997,1,105
22.9975,25.070249999999998,2,105
22.971,24.65,3,105
23.3215,23.8095,4,105
24.18,22.968999999999998,5,105
25.0385,23.8095,6,105
25.389,24.65,7,105
25.3625,25.070249999999998,8,105
25.3275,25.490499999999997,9,105
12.050500000000001,24.716500000000003,1,106
12.081000000000001,24.318250000000003,2,106
12.3975,23.92,3,106
12.6005,23.1235,4,106
13.05,22.327,5,106
13.499500000000001,23.1235,6,106
13.7025,23.92,7,106
14.019,24.318250000000003,8,106
14.0495,24.716500000000003,9,106
24.607,29.060000000000002,1,107
24.421,28.59,2,107
24.206,28.12,3,107
24.193,27.18,4,107
25.48,26.240000000000002,5,107
26.767,27.18,6,107
26.754,28.12,7,107
26.539,28.59,8,107
26.353,29.060000000000002,9,107
27.663,35.128499999999995,1,108
27.6345,34.71425,2,108
27.607,34.3,3,108
27.68,33.4715,4,108
29.06,32.643,5,108
30.439999999999998,33.4715,6,108
30.512999999999998,34.3,7,108
30.4855,34.71425,8,108
30.456999999999997,35.128499999999995,9,108
15.511000000000001,23.247500000000002,1,109
15.374000000000002,22.798750000000002,2,109
15.361500000000001,22.35,3,109
