name,date,total_number,daily_number,number_from_unit,Square,Context,Unit,raw_material,mass,flake_type,completeness,percussion_length,max_dimension,platform_width,width_at_0.25_length,width_at_0.50_length,width_at_0.75_length,platform_thickness,thickness_at_0.25_length,thickness_at_0.50_length,thickness_at_0.75_length,thickness_at_0.25_width,thickness_at_0.75_width,platform_type,dorsal_cortex_perc,dorsal_cortex_dist,cortex_texture,heat_treatment,initiation,termination,platform_preparation,dorsal_scar_surface_count,dorsal_scar_initiation_count,dorsal_scar_directions,comment
...623,42490,622,26,26,B1,2,7,rq,6.6,p,co,27.42,36.52,20.72,31.23,35.3,27.11,4.28,5.95,5.45,3.53,3.01,1.99,co,100,al,s,n,h,f,n,0,0,n,NA
...624,42490,623,27,27,B1,2,7,rq,15.1,p,co,33.05,47.79,36.31,48.03,44.99,27.62,5.44,9.89,9.58,5.34,4.07,4.6899999999999995,co,0,n,n,n,h,f,n,2,1,p1po1,NA
...625,42490,624,28,28,B1,2,7,rq,11.2,p,ll,35.37,40.08,20.83,26.38,30.04,25.28,14.2,12.17,10.2,3.34,1.72,NA,si,100,al,s,n,b,f,n,0,0,n,NA
...626,42490,625,29,29,B1,2,7,rq,42.8,p,co,41.64,64.23,32.62,50.9,57.33,59.01,6.49,9.19,13.36,4.33,10.229999999999999,9.460000000000003,co,10,cl,s,n,h,f,n,4,1,p1,"has crescent cortex on both margins, indicating width of core"
...627,42490,626,30,30,B1,2,7,rq,8.1,p,lr,39.2,39.88,9.89,17.65,22.28,18.58,3.26,6.6,7.28,4.52,NA,4.63,co,0,n,n,n,h,f,n,2,1,p1,NA
...628,42490,627,31,31,B1,2,7,rq,4.3,p,ll,34.62,36.52,14,15.21,18.51,13.86,8.92,5.95,5.38,2.22,1.55,NA,co,0,n,n,n,h,f,n,1,0,n,NA
...629,42490,628,32,32,B1,2,7,rq,16.4,p,co,31.73,56.34,38.57,39.99,39.76,35.15,12.54,10.89,9.83,7.18,3.3299999999999996,4.42,co,0,n,n,n,h,f,n,3,2,p2,NA
...630,42490,629,33,33,B1,2,7,rq,44.1,p,co,32.13,74.18,51.89,60.9,60.45,59.57,13.56,13.82,12.22,7.69,6.35,4.5,co,0,n,n,n,h,f,n,3,0,n,NA
...631,42490,630,34,34,B1,2,7,rq,3.5,p,co,15.32,34.68,31.52,32.85,33.61,23.16,6.91,5.42,4.42,4.35,1.81,2.56,co,0,n,n,n,h,f,n,1,1,p1,NA
...632,42490,631,35,35,B1,2,7,rq,25.3,p,co,36.07,44.3,36.02,36.44,32.2,20.02,20.19,19.99,15.87,11.26,6.91,12.46,co,70,cr,s,n,h,f,n,2,1,p1,NA
...633,42490,632,36,36,B1,2,7,rq,1.2,p,lr,19.08,27.06,8.02,12.98,10.08,9.59,4.38,2.43,2.25,1.89,NA,3.54,co,20,cl,s,n,h,f,n,1,0,n,NA
...634,42490,633,37,37,B1,2,7,rq,11.9,p,ll,29.72,33.58,18.23,18.46,22,17.4,8.62,7.18,7.29,4.24,9.620000000000001,NA,co,30,cr,s,n,h,f,n,1,0,n,NA
...635,42490,634,38,38,B1,2,7,rq,1,p,lr,19.91,21.65,7.87,9.6,10.52,11.7,3.05,3.31,4.22,2.95,NA,2.6,co,0,n,n,n,h,f,n,1,0,n,NA
...636,42490,635,39,39,B1,2,7,rq,12.2,p,lr,39.07,47.26,28.28,25.33,22.11,14.53,15.3,12.54,8.89,5.24,NA,5.02,co,0,n,n,n,h,f,n,1,1,p1,NA
...637,42490,636,40,40,B1,2,7,rq,9.200000000000001,p,co,35.96,39.78,19.33,31.53,36.78,30.05,5.52,6.65,5.95,2.77,2.59,3.51,co,40,di,s,n,h,f,n,2,1,p1m1,NA
...638,42490,637,41,41,B1,2,7,rq,4.6,p,co,26.28,32.68,19.94,26.83,25.77,17.17,3.89,4.74,4.77,5.65,2.65,3.19,co,20,cl,s,n,h,f,n,2,1,p1,NA
...639,42490,638,42,42,B1,2,7,rq,20.4,p,co,30.29,64.37,23.06,39.52,49.75,63.11,9.68,8.7,8,5.3,5.05,3.51,co,20,cr,s,n,h,f,n,1,0,n,NA
...640,42490,639,43,43,B1,2,7,rq,1.7,p,t,11.58,19.77,16.73,17.55,19.02,17.3,6.22,5.63,5.07,4.25,2.15,2.34,co,0,n,n,n,h,s,n,2,1,m1,NA
...641,42490,640,44,44,B1,2,7,rq,11.2,p,co,36.88,40.82,20.26,23.6,23.69,21.24,10.64,10.23,7.46,4.5,4.659999999999999,6.08,co,10,di,s,n,h,f,n,2,0,p2,NA
...642,42490,641,45,45,B1,2,7,rq,4,p,co,27.95,28.93,14.9,19.87,20.72,15.05,6.53,4.69,4.4,3.33,3.12,3.3699999999999997,co,70,cr,s,n,h,f,n,1,0,n,NA
...643,42490,642,46,46,B1,2,7,rq,2.1,p,co,22.3,26,15.62,14.84,11.5,7.54,7.39,6.49,6.13,2.63,3.09,3.62,co,0,n,n,n,h,f,n,2,0,p2,NA
...644,42490,643,47,47,B1,2,7,rq,1.5,p,co,13.83,20.57,15.2,16.94,17.17,15.7,5.1,4.75,3.97,3.6,1.49,3.3899999999999997,co,0,n,n,n,h,f,n,1,0,n,NA
...645,42490,644,48,48,B1,2,7,rq,1.8,p,co,19.5,24.37,14.35,18.22,14.36,13.62,2.8,4.14,3.83,2.38,3.63,2.12,co,0,n,n,n,h,f,n,2,1,p1,NA
...646,42490,645,49,49,B1,2,7,rq,0.5,p,lr,17.16,18.7,6.4,8.43,9.56,9.48,2.19,3.15,3,2.01,NA,0.89,co,0,n,n,n,h,f,n,1,0,n,NA
...647,42490,646,50,50,B1,2,7,rq,7.3,p,ll,27.6,31.96,11.82,15.44,18.81,15.48,9.47,7.43,6.63,6.39,10.7,NA,co,30,cr,s,n,h,f,n,1,0,n,NA
...648,42490,647,51,51,B1,2,7,rq,2.5,p,co,13.09,21.57,21.11,21.97,17.93,15.63,7.41,5.74,5.72,4.8,3.4899999999999998,4.84,co,0,n,n,n,h,f,n,2,0,n,NA
...649,42490,648,52,52,B1,2,7,rq,1.4,p,co,21.13,22.59,10.51,12.09,16.8,11.03,1.44,2.42,3.46,4.07,2.96,3.1,co,0,n,n,n,h,f,n,2,1,p1,NA
...650,42490,649,53,53,B1,2,7,rq,7.5,p,tr,27.85,36.48,11.07,20.99,25.71,27.73,1.6,5.02,5.62,7.9,NA,5.35,co,0,n,n,n,h,s,n,3,0,p1,NA
...651,42490,650,54,54,B1,2,7,rq,5,p,co,23.27,30.2,17.31,17.98,20.47,28.95,7.68,6.6,6.99,4.84,3.92,2.86,co,0,n,n,n,h,f,n,3,0,p2,NA
...652,42490,651,55,55,B1,2,7,rq,2.6,p,co,16.07,26.3,26.28,22,19.49,16.44,6.65,6.56,4.22,2.07,4.22,3.69,co,0,n,n,n,h,f,n,1,0,n,NA
...653,42490,652,56,56,B1,2,7,rq,4.1,p,co,15.8,39.96,23.24,22.57,18.49,11.83,5.72,5.42,4.5,2.82,2.8099999999999996,6.3,co,0,n,n,n,h,f,n,1,0,n,NA
...654,42490,653,57,57,B1,2,7,rq,4.1,p,tr,15.9,29.85,21.45,25.45,26.12,26.16,8.69,5.6,4.18,2.79,NA,4.89,co,20,cl,s,n,h,f,n,1,0,n,NA
...655,42490,654,58,58,B1,2,7,rq,3.2,p,t,20.94,32.59,16.43,19.48,28.62,26.02,4.51,4.4,3.58,2.81,1.83,2.9,co,0,n,n,n,h,f,n,3,2,p2,NA
...656,42490,655,59,59,B1,2,7,rq,2.4,p,lr,22.67,26.07,13.46,14.94,16.44,17.05,3.66,3.6,3.76,3.24,NA,3.04,co,0,n,n,n,h,f,n,1,0,n,NA
...657,42490,656,60,60,B1,2,7,rq,3.3,p,co,20.72,28.73,14.77,12.38,12.9,17.69,7.26,6.76,7.33,3.4,2.4,5.109999999999999,co,0,n,n,n,h,f,n,3,0,n,NA
...658,42490,657,61,61,B1,2,7,rq,43.6,p,co,62.57,68.63,35.56,37.4,34.92,34.9,13.34,15.19,12.14,8.89,8.66,6.88,co,10,di,s,n,h,f,n,4,2,p1po1,NA
...659,42490,658,62,62,B1,2,7,rq,0.1,p,co,12.21,12.51,6.16,9.78,11.41,9.29,1.12,1.52,1.49,1.08,1.4,1.1299999999999997,co,0,n,n,n,h,f,n,1,0,n,NA
...660,42490,659,63,63,B1,2,7,rq,1.4,p,ll,18.64,20.54,11.01,13.94,14.03,10.69,4.25,4.61,4.18,3.6,NA,1.74,co,0,n,n,n,h,f,n,1,0,n,NA
...661,42490,660,64,64,B1,2,7,rq,0.8,p,lr,18.49,18.89,8.98,11.78,14.12,8.91,2.68,2.69,2.56,1.28,1.06,NA,co,0,n,n,n,h,f,n,1,1,p1,NA
...662,42490,661,65,65,B1,2,7,rq,1.7,p,co,13.16,19.89,19.38,16.83,14.8,13.06,8.46,5.7,4.56,2.41,3.63,2.8699999999999997,co,100,al,s,n,h,f,n,0,0,n,NA
...663,42490,662,66,66,B1,2,7,rq,7.8,p,co,21.49,38.41,34.48,33.95,29.9,23.1,9.81,8.18,6.69,6.1,3.4299999999999997,4.6899999999999995,co,20,cl,s,n,h,f,n,1,0,n,NA
...664,42490,663,67,67,B1,2,7,rq,4,p,ll,24.23,28.17,16,17.69,17.72,13.2,6.62,6,6.13,3.64,3.22,NA,co,20,cr,s,n,h,f,n,1,0,n,NA
...665,42490,664,68,68,B1,2,7,rq,6.1,p,co,27.07,32.9,28.85,24.37,20,13.24,9.41,8.56,7.07,5.06,3.9499999999999997,5.7,co,0,n,n,n,h,f,n,2,0,p1,NA
...666,42490,665,69,69,B1,2,7,rq,1.1,p,lr,13.8,17.11,10.36,11.81,12.64,13.97,5.99,5.18,3.01,1.51,NA,2.3899999999999997,co,0,n,n,n,h,f,n,1,0,n,NA
...667,42490,666,70,70,B1,2,7,rq,1.4,p,co,10.45,24.22,20.98,23.34,20.76,15.47,7.62,4.55,3.24,1.48,1.8800000000000001,1.77,co,0,n,n,n,h,f,n,1,0,n,NA
...668,42490,667,71,71,B1,2,7,rq,4.1,p,lr,24.26,29.07,13.47,18.92,22.71,20.32,5.31,4.7,4.86,3.94,NA,3.16,co,20,cl,s,n,h,f,n,1,1,p1,NA
...669,42490,668,72,72,B1,2,7,rq,2.9,p,lr,19,26.33,22.98,23.52,18.97,18.69,4.7,4.82,4.21,2.62,NA,3.63,co,0,n,n,n,h,f,n,1,0,n,NA
...670,42490,669,73,73,B1,2,7,rq,4.4,p,co,26.81,26.81,13.8,18.17,21.86,18.71,7.03,6.15,5.16,3.18,4.28,4.42,co,70,cl,s,n,h,f,n,1,0,n,NA
...671,42490,670,74,74,B1,2,7,rq,9.5,p,t,19.08,40.32,36.16,37.01,35.67,34.9,9.44,9.79,8.86,6.94,4.21,5.23,co,0,n,n,n,h,f,n,1,0,n,NA
...672,42490,671,75,75,B1,2,7,rq,6.7,p,co,19.53,34.85,31.21,31.38,29.09,23.3,5.01,7.52,7.33,5.35,3.44,4.96,co,0,n,n,n,h,f,o,3,1,p3,NA
...673,42490,672,76,76,B1,2,7,rq,1.9,p,co,19.17,21.51,17.97,18.24,19.89,13.61,5.68,5.77,5.06,2.97,2.23,2.65,co,0,n,n,n,h,f,n,2,0,p2,NA
...674,42490,673,77,77,B1,2,7,rq,11.1,p,lr,39.57,43.39,21.54,24.68,25.74,22.42,9.85,10.23,9.64,6.04,NA,2.63,co,0,n,n,n,h,f,n,2,0,n,NA
...675,42490,674,78,78,B1,2,7,rq,2.1,p,tl,20.85,26.39,22.6,20.54,16.99,10.2,3.72,4.94,4.15,2.33,1.6300000000000001,NA,co,0,n,n,n,h,f,n,1,1,p1,NA
...676,42490,675,79,79,B1,2,7,rq,7.2,p,ll,31.31,33.22,20.4,22.09,17.46,10.03,9.93,10.11,9.48,6.74,4.859999999999999,NA,co,0,n,n,n,h,f,n,1,0,n,NA
...677,42490,676,80,80,B1,2,7,rq,1.3,p,co,21.36,21.36,12.77,11.42,6.77,4.66,4.94,4.96,5.75,2.57,5.09,4.430000000000001,co,0,n,n,n,h,f,n,3,0,n,NA
...678,42490,677,81,81,B1,2,7,rq,1.4,p,co,7.88,24.15,24.15,19.6,16.7,12.65,8.75,7.31,6.4,2.64,3.3699999999999997,2.92,co,0,n,n,n,h,f,n,1,0,n,NA
...679,42490,678,82,82,B1,2,7,rq,8,p,co,30.46,36.74,28.46,27.84,28.17,30.01,4.63,6.87,5.85,4.45,2.9899999999999998,4.79,co,10,di,s,n,h,f,n,3,1,p1,NA
...680,42490,679,83,83,B1,2,7,rq,3.3,p,lr,21.52,29.54,23.95,20.98,18.61,12.88,6.07,5.98,4.33,2.62,NA,2.9099999999999997,co,0,n,n,n,h,f,n,1,0,n,NA
...681,42490,680,84,84,B1,2,7,rq,6.3,p,lr,33.92,43.18,13.6,13.55,15.3,24.53,5.85,8.28,8.24,6.53,NA,3.18,co,0,n,n,n,h,f,n,2,0,n,NA
...682,42490,681,85,85,B1,2,7,rq,7.7,p,co,32.95,42.8,12.9,19.86,33.92,28.84,7.15,7.06,6.39,5.18,3.9699999999999998,3.65,co,0,n,n,n,h,f,o,3,0,p3,NA
...683,42490,682,86,86,B1,2,7,rq,11.9,p,ll,23.83,42,38.52,33.36,21.76,13.17,11.23,10.46,8.87,5.29,8.77,NA,co,0,n,n,n,h,f,n,2,0,n,NA
...684,42490,683,87,87,B1,2,7,rq,2,p,co,25.68,25.84,4.88,16.41,18.24,12.81,1.43,3.02,3.57,2.85,2.48,2.15,co,10,cl,s,n,h,f,n,1,1,p1,NA
...685,42490,684,88,88,B1,2,7,rq,1.4,p,t,17.14,18.94,13.87,13.85,14.18,13.51,5.23,5.11,4.58,3.29,2.64,3.16,co,0,n,n,n,h,s,n,2,0,p2,NA
...686,42490,685,89,89,B1,2,7,rq,6.9,p,co,44.27,45.03,14.44,15.63,20.12,14.39,2.36,6.59,6.13,4.22,6.84,3.59,co,30,cr,s,n,h,f,n,3,0,n,NA
...687,42490,686,90,90,B1,2,7,rq,10.9,p,t,33.6,45.13,21.23,17.92,17.95,22.71,13.96,13,12.17,6.7,4.78,6.75,co,0,n,n,n,h,f,n,3,0,p2,NA
...688,42490,687,91,91,B1,2,7,rq,3.1,p,co,20,24.54,23.62,23.72,21.87,13.25,8.51,6.5,3.9,2.35,3.84,2.59,co,0,n,n,n,h,f,n,2,0,p2,NA
...689,42490,688,92,92,B1,2,7,rq,10.7,p,co,31.14,43.17,30.94,39.87,34.12,27.28,8.58,7.76,7.06,5.77,3.2,4.57,co,0,n,n,n,h,f,n,3,2,p2,NA
...690,42490,689,93,93,B1,2,7,rq,1,p,t,13.25,19.86,16.24,14.43,14.94,12.49,3.96,3.83,2.97,2.33,1.98,2.27,co,0,n,n,n,h,s,n,3,0,p2,NA
...691,42490,690,94,94,B1,2,7,rq,7.5,p,t,14.3,37.03,28.88,27.24,31.7,33.41,8.48,8.27,7.97,6.79,3.36,7.73,co,0,n,n,n,h,s,n,2,1,p1,NA
...692,42490,691,95,95,B1,2,7,rq,2.6,p,lr,17.12,24.14,16.44,16.46,17.57,17.92,8.77,7.65,6.19,5.62,NA,1.95,co,0,n,n,n,h,f,n,1,1,p1,NA
...693,42490,692,96,96,B1,2,7,rq,1.6,p,co,14.95,21.37,12.75,13.93,17.71,21.48,7.06,5.93,4.3,2.86,2.36,1.61,co,0,n,n,n,h,f,n,2,2,p2,NA
...694,42490,693,97,97,B1,2,7,rq,0.3,p,ll,10.9,12.74,8.39,8.61,7.43,6.02,5.21,3.13,2.72,1.49,0.77,NA,co,0,n,n,n,h,f,n,1,0,n,NA
...695,42490,694,98,98,B1,2,7,rq,1.4,p,ll,20.46,23.47,11.06,11.01,10.5,9.25,5.94,5.06,2.98,1.35,3.16,NA,co,0,n,n,n,h,f,n,2,0,n,NA
...696,42490,695,99,99,B1,2,7,rq,5.4,p,t,21.07,36.08,22.92,35.77,29,16.63,7.31,6.07,5.93,3.92,3.1,2.02,co,0,n,n,n,h,f,n,2,2,p2,NA
...697,42490,696,100,100,B1,2,7,rq,2.6,p,lr,18,23.65,13.52,17.84,21.76,19.56,6.58,6.97,6.17,4.36,NA,2.02,co,90,cl,s,n,h,f,n,1,0,n,NA
...698,42490,697,101,101,B1,2,7,rq,1.1,p,lr,21.22,21.22,6.42,9.8,12.48,11.18,1.78,3.13,3.03,1.34,NA,2.48,co,30,cl,s,n,h,f,n,1,0,n,NA
...699,42490,698,102,102,B1,2,7,rq,2.9,p,co,19.47,27.84,18.65,17.16,17.49,19.18,5.54,4.73,5.2,2.32,5.06,2.13,co,0,n,n,n,h,f,n,2,0,p1,NA
...700,42490,699,103,103,B1,2,7,rq,0.3,p,lr,14.48,14.79,9.04,9.51,8.21,8.14,4.31,2.98,1.9,1.19,NA,1.08,co,0,n,n,n,h,f,n,1,0,n,NA
...701,42490,700,104,104,B1,2,7,rq,0.7,p,co,15.14,16.33,11.57,15.71,15.78,7.56,3.38,3.07,1.74,1.38,0.96,1.73,co,0,n,n,n,h,f,n,1,0,n,NA
...702,42490,701,105,105,B1,2,7,rq,1,p,co,20.03,20.74,7.87,10.87,16.21,11.56,2.91,2.88,3.17,2.58,1.73,3.02,co,0,n,n,n,h,f,n,1,0,n,NA
...703,42490,702,106,106,B1,2,7,rq,0.8,p,t,11.02,15.18,8.03,10.54,11.43,13.09,5.12,3.53,3.39,2.52,3.12,3.12,co,0,n,n,n,h,f,n,1,0,n,NA
...704,42490,703,107,107,B1,2,7,rq,0.4,p,co,9.17,13.76,12.03,10.73,9.68,8.19,4.11,3.34,2.74,1.13,1.52,1.6700000000000002,co,0,n,n,n,b,f,n,1,0,n,NA
...705,42490,704,108,108,B1,2,7,rq,0.3,p,co,10.17,10.95,10.43,10.46,8.93,4.81,2.49,1.42,1.88,1.56,1.3900000000000001,1.34,co,0,n,n,n,h,f,n,2,1,p2,NA
...706,42490,705,109,109,B1,2,7,rq,1.4,p,t,17.78,21.4,12.82,13.08,10.5,10.19,2.73,3.42,3.9,4.42,2.58,1.94,co,0,n,n,n,h,f,n,2,0,p1,NA
...707,42490,706,110,110,B1,2,7,rq,1.1,p,co,13.37,20.49,14.95,14.25,12.84,8.83,6.32,4.95,3.98,1.61,2.26,3.38,co,0,n,n,n,h,f,n,0,0,n,NA
...708,42490,707,111,111,B1,2,7,rq,3.5,p,lr,34.16,34.63,9.73,12.99,13.92,9.55,4.16,4.89,4.93,1.9,NA,5.08,co,30,cl,s,n,h,f,n,1,0,n,NA
...709,42490,708,112,112,B1,2,7,rq,2.1,p,co,16.13,22.63,20.29,22.15,20.95,14.29,6.15,5.11,3.38,3.49,1.76,2.8899999999999997,co,0,n,n,n,h,f,n,3,1,p2,NA
...710,42490,709,113,113,B1,2,7,rq,0.5,p,co,10.09,17.42,13.88,13.83,13.89,14.26,2.85,2.89,2.52,1.5,2.63,1.43,co,0,n,n,n,h,f,n,1,1,p1,NA
...711,42490,710,114,114,B1,2,7,rq,6.2,p,lr,34.95,38.89,24.8,24.73,20.9,13.35,4.75,5.87,4.39,3.3,4.92,4.64,co,0,n,n,n,h,f,n,1,0,n,NA
...712,42490,711,115,115,B1,2,7,rq,4.8,p,co,16.21,40.95,40.2,36.84,27.54,19.63,6.68,4.81,3.47,1.28,4.33,2.3299999999999996,co,0,n,n,n,h,f,n,2,0,n,NA
...713,42490,712,116,116,B1,2,7,rq,2.3,p,co,16.87,17.54,16.67,16.85,16.39,16.07,7.44,6.68,6.08,3.87,3.9099999999999997,2.44,co,0,n,n,n,h,f,n,2,0,n,NA
...714,42490,713,117,117,B1,2,7,rq,23.3,p,t,23,59.27,40.76,42.21,47.66,56.23,14.17,13.86,12.33,9.51,6.02,4.470000000000001,co,0,n,n,n,h,f,n,2,0,p1,NA
...715,42490,714,118,118,B1,2,7,rq,1.9,p,co,19.74,24.7,14.49,23.17,22.06,16.94,4.35,3.75,3.23,1.6,2.1,2.34,co,0,n,n,n,h,f,n,2,1,p1,NA
...716,42490,715,119,119,B1,2,7,rq,4.2,p,co,31.61,37,17.36,13.22,11.94,10.54,7.73,8.03,6.37,3.97,2.05,3.9899999999999998,co,0,n,n,n,h,f,n,3,1,p3,NA
...717,42490,716,120,120,B1,2,7,rq,9,p,co,27.76,42.77,23.06,29.29,31.25,40.34,6.89,7.15,6.51,4.28,2.71,3.9,co,0,30,di,n,n,f,n,4,1,p3,NA
...718,42490,717,121,121,B1,2,7,rq,0.7,p,co,9.68,19.47,15.67,16.26,17.1,16.32,5.29,4.69,3.23,1.83,2.55,1.29,co,0,n,n,n,h,f,n,2,0,n,NA
...719,42490,718,122,122,B1,2,7,rq,1.1,p,lr,16.45,10.65,14.25,13.72,12.27,9.6,5.18,4.98,4.04,2.91,NA,3.12,co,0,n,n,n,h,f,n,1,0,n,NA
...720,42490,719,123,123,B1,2,7,rq,17.2,p,tr,28.35,50.93,27.84,37.24,40.84,38.16,13.02,11.5,9.25,7.54,NA,3.79,co,10,cl,s,n,h,f,o,1,0,n,NA
...721,42490,720,124,124,B1,2,7,rq,17.4,p,co,48.25,48.76,29.42,31.02,29.42,24.53,9.92,10.87,7.87,4.45,5.06,4.74,co,80,cl,s,n,h,f,n,1,0,n,NA
...722,42490,721,125,125,B1,2,7,rq,1.9,p,co,17.66,20.54,20.59,18.79,17.17,11.2,5.74,5.52,5.37,5.26,2.24,5.35,co,0,n,n,n,h,f,n,1,0,n,NA
...723,42490,722,126,126,B1,2,7,rq,1.3,p,co,10.16,22.66,20.26,19.46,20.44,13.32,4,2.91,2.26,1.58,2.21,4.21,co,0,n,n,n,h,f,n,3,1,p2,NA
...724,42490,723,127,127,B1,2,7,rq,1.1,p,lr,12.77,15.42,14.65,13.37,11.41,9.36,5.66,3.87,3.68,3.67,2.22,NA,co,0,n,n,n,h,f,n,1,0,n,NA
...725,42490,724,128,128,B1,2,7,rq,0.9,p,ll,13.15,16.94,9.92,10.13,9.77,9.71,4.72,4.53,3.9,2.81,2.08,NA,co,0,n,n,n,h,f,n,1,0,n,NA
...726,42490,725,129,129,B1,2,7,rq,16,p,tl,32.96,43.86,17.68,18.49,28.65,32.85,4.66,9.39,12.05,9.85,8.77,NA,co,0,n,n,n,h,f,o,3,1,p3,NA
...727,42490,726,130,130,B1,2,7,rq,5.1,p,t,17.99,33.49,18.62,23.26,24.95,28.65,5.85,6.92,6.65,4.37,4.619999999999999,3.65,co,0,n,n,n,h,f,n,1,0,n,NA
...728,42490,727,131,131,B1,2,7,rq,2.4,p,lr,18.6,24.99,14.19,12.37,13.3,18.5,10.37,8.34,6.62,4.4,5.79,1.8,co,0,n,n,n,h,f,n,2,0,n,NA
...729,42490,728,132,132,B1,2,7,rq,1.3,p,co,17.78,19.81,12.56,12.95,11.93,12.44,5.09,5.13,4.23,2.28,2.63,1.29,co,0,n,n,n,h,f,n,1,0,n,NA
...730,42490,729,133,133,B1,2,7,rq,1,p,co,12.53,18.41,14.83,15.87,16.88,16.6,4.33,3.77,3.36,1.78,2.24,2.2,co,0,n,n,n,h,f,n,2,0,n,NA
...731,42490,730,134,134,B1,2,7,rq,16.2,p,co,38.2,44.7,25.83,29.06,28.51,21.96,7.1,8.39,7.27,5.54,4.76,10.6,co,30,cl,s,n,h,f,o,3,0,p2,NA
...732,42490,731,135,135,B1,2,7,rq,3.1,p,co,15,30.53,22.13,22.1,21.82,29.2,6.66,6.08,6.42,2.26,2.29,3.9299999999999997,co,0,n,n,n,h,f,n,3,1,p2,NA
...733,42490,732,136,136,B1,2,7,rq,8.700000000000001,p,co,28.78,41.09,34.35,31.01,27.15,23.17,7.68,6.47,5.32,5.5,3.98,5.81,co,0,n,n,n,h,f,n,4,0,n,NA
...734,42490,733,137,137,B1,2,7,rq,6.8,p,co,21.06,37.65,25.67,28.31,29.84,26.53,8.52,9.05,8.49,3.26,1.71,2.07,co,0,n,n,n,h,f,n,2,1,p1,NA
...735,42490,734,138,138,B1,2,7,rq,10.5,p,co,30.03,49.47,21.19,34.59,46.69,34.43,3.42,4.53,5.53,4.63,3.6,4.34,co,20,cldi,s,n,h,f,n,2,1,p2,NA
...736,42490,735,139,139,B1,2,7,rq,4.3,p,co,19.03,30.88,27.94,27.5,27.93,27.18,7.8,7.15,6.63,6.21,1.62,4.13,co,0,n,n,n,h,f,n,2,1,p1,NA
...737,42490,736,140,140,B1,2,7,rq,4.3,p,ll,23.95,35.55,26.31,24.79,24.62,11.39,7.01,6.66,5.85,2.79,2.6,NA,co,0,n,n,n,h,f,n,1,0,p1,NA
...738,42490,737,141,141,B1,2,7,rq,5.8,p,ll,27.74,34.15,19.87,17.88,16.23,16.08,8.04,8.13,8.96,7.91,NA,3.15,co,0,n,n,n,h,f,n,1,0,n,NA
...739,42490,738,142,142,B1,2,7,rq,5.8,p,co,16.89,37.5,35.22,27.83,16.59,11.13,5.62,5.86,6.6,3.28,5.23,6.53,co,0,n,n,n,h,f,n,2,1,p1,NA
...740,42490,739,143,143,B1,2,7,rq,4.7,p,co,19.02,33.9,26.8,31.71,33.86,24.76,10.23,8.69,6.85,3.82,2.9,2.56,co,0,n,n,n,h,f,n,3,2,p2,NA
...741,42490,740,144,144,B1,2,7,rq,1.8,p,ll,17.52,23.05,11.09,13.65,17.79,11.48,5.79,6.23,6.33,2.74,2.01,NA,co,0,n,n,n,h,f,n,1,0,n,NA
...742,42490,741,145,145,B1,2,7,rq,14.1,p,ll,32.75,41.87,26.88,26.91,26.69,24.73,11.85,10.73,9.83,4.4,3.62,NA,co,0,n,n,n,h,f,n,3,1,p1,NA
...743,42490,742,146,146,B1,2,7,rq,6.3,p,co,21.75,33.66,29.62,25.73,23.98,20.74,13.55,11.31,8.49,4.79,3.34,4.6499999999999995,co,0,n,n,n,h,f,n,2,0,n,NA
...744,42490,743,147,147,B1,2,7,rq,10.5,p,ll,33.55,37.27,27.07,27.39,26.99,16.39,8.25,7.03,5.71,9.25,5.9,NA,co,0,n,n,n,h,f,n,2,1,p1,NA
...745,42490,744,148,148,B1,2,7,rq,48.2,p,co,49.15,57.37,43.91,53.27,52.16,37.49,7.81,12.93,15.45,11.54,4.46,10.629999999999999,co,40,cl,s,n,h,f,o,4,1,p1,NA
...746,42490,745,149,149,B1,2,7,rq,1.7,p,ll,24.41,25.02,22.52,16.61,13.59,8.62,2.92,2.71,2.72,1.75,2.4499999999999997,5.1,co,0,n,n,n,h,f,n,1,1,p1,NA
...747,42490,746,150,150,B1,2,7,rq,8,p,ll,30.03,41.06,21.3,29.88,29.46,12.37,10.3,8.34,6.37,3.9,2.77,NA,co,50,cr,s,n,h,f,n,1,0,n,NA
...748,42490,747,151,151,B1,2,7,rq,16.2,p,ll,37.69,48.47,25.75,37.36,36.69,31.63,11.04,10.79,8.97,2.95,2.62,NA,co,100,al,s,n,h,f,n,0,0,n,NA
...749,42490,748,152,152,B1,2,7,rq,2.4,p,lr,31.31,32.13,12.48,11.24,10.78,13.65,5.45,4.14,4.15,3.88,NA,2.06,co,0,n,n,n,h,f,n,2,0,n,NA
...750,42490,749,153,153,B1,2,7,rq,5.3,p,co,20.73,32.57,23.96,28.74,27.84,19.39,8.72,7.27,5.29,3.5,4.46,3.7,co,10,cr,s,n,h,f,n,1,1,m1,NA
...751,42490,750,154,154,B1,2,7,rq,0.9,p,lr,15.74,19.26,19.22,14.7,13.74,9.14,4.63,3.55,3.25,2.15,NA,1.5,co,0,n,n,n,h,f,n,1,0,n,NA
...752,42490,751,155,155,B1,2,7,rq,1.6,p,co,19.2,23.5,11.99,12.8,15.09,8.75,3.28,4.54,5.04,4.7,1.85,2.9,co,0,n,0,n,h,f,n,3,0,p1,NA
